index,data_type,data_name,count,label,probability
31865,mapping_type_static,InvestorsTokens,1,476,1.0
31866,bool,initialize,1,566,0.8164945483555974
31867,uint256,TotalTokenCount,4,506,0.5668266868213547
31868,uint16,MaxUsers,2,-1,0.0
31869,uint256,ChosenNumber,2,-1,0.0
31870,address,WinnerAddress,2,998,0.7420588970434572
31871,uint256,returnNumber,1,927,1.0
31872,uint8,deleted,2,-1,0.0
31873,string,photoData,2,-1,0.0
31874,string,photoText,2,-1,0.0
31875,mapping_type_static,genesisInitialSupply,2,211,0.3488219776096468
31876,mapping_type_static,Key,1,628,1.0
31877,mapping_type_static,Order,1,675,1.0
31878,mapping_type_static,Product,1,-1,0.0
31879,bool,blockedContract,2,752,0.4342997559025768
31880,uint256,remainingFree,2,1100,0.7770606196286035
31881,mapping_type_static,hasAirdrop,2,106,1.0
31882,uint256,freeAmount,3,-1,0.0
31883,uint256,remainingSale,2,-1,0.0
31884,array_type_dynamic,tokensIndex,2,100,1.0
31885,uint256,saleAllocation,2,-1,0.0
31886,uint256,tierThree,2,45,0.9938655458706039
31887,uint256,tierTwo,2,45,1.0
31888,uint256,tierOne,2,45,0.8708632264528636
31889,uint256,foundersAllocation,2,400,0.9741583604832202
31890,uint256,MemberCount,2,945,0.36586069463553167
31891,bool,mintingLocked,2,19,1.0
31892,mapping_type_static,confirmed,3,1045,1.0
31893,uint256,convertToToken,2,664,0.9838291900395487
31894,uint256,TokensMinted,2,19,1.0
31895,mapping_type_static,tokenDistributed,2,469,1.0
31896,uint256,validityPeriod,1,-1,0.0
31897,uint256,tokenMax,1,363,1.0
31898,bool,vesting2Withdrawn,1,-1,0.0
31899,bool,vesting1Withdrawn,1,-1,0.0
31900,user_define_contract,currentVersion,1,718,1.0
31901,uint256,validatePow,1,756,1.0
31902,uint256,TICKET_PRICE,1,50,1.0
31903,mapping_type_dynamic,pic,2,-1,0.0
31904,address,Certifier,2,175,1.0
31905,array_type_dynamic,CertifiedStudentAtIndex,2,175,0.2600746460467987
31906,address,patient,1,943,1.0
31907,mapping_type_static,updatedAt,1,1096,0.7381494956771261
31908,uint256,secondsInADay,1,1168,1.0
31909,mapping_type_static,createdAt,1,-1,0.0
31910,array_type_dynamic,Contracts,3,-1,0.0
31911,uint8,handbreak,1,940,1.0
31912,string,Notes,1,949,0.5344939886772311
31913,array_type_dynamic,FileSha256,1,-1,0.0
31914,mapping_type_static,isFactory,2,700,1.0
31915,array_type_static,buyTicket,1,81,0.3445531187640399
31916,uint256,xPrize,1,908,0.9309255879834633
31917,address,stableCoin,1,601,0.18721735266701406
31918,uint256,challengePeriod,1,1011,0.7852324425136836
31919,uint256,commitPeriod,1,-1,0.0
31920,uint256,revealPeriod,1,984,1.0
31921,uint8,committeeSize,1,119,1.0
31922,array_type_dynamic,registeredTokens,2,-1,0.0
31923,mapping_type_static,tokenRegistered,2,-1,0.0
31924,uint256,intervalStartTimestamp,1,1146,0.7985691721014178
31925,uint256,interestOwed,1,866,0.2011155388042732
31926,mapping_type_static,releaseHashes,1,679,0.36130114439169475
31927,array_type_dynamic,admin,4,777,1.0
31928,uint256,voteThreshold,2,-1,0.0
31929,address,signatureValidator,1,-1,0.0
31930,user_define_contract,coreInstance,3,322,0.9841301235872502
31931,user_define_contract,vaultInstance,3,63,0.9276242584681533
31932,user_define_contract,dlt,1,1190,0.7709551884442827
31933,array_type_dynamic,Path,2,-1,0.0
31934,address,kycAddress,3,249,0.44417198463265456
31935,address,fundDestination,1,459,0.9923971809506721
31936,address,feeAdmin,1,-1,0.0
31937,bool,allocatedFounders,2,400,1.0
31938,bool,kyc,1,250,0.7520384722768436
31939,uint256,numOwners,1,923,1.0
31940,mapping_type_static,usersIds,1,1118,0.8193216630351757
31941,array_type_dynamic,totalUsers,2,939,0.37649223280219846
31942,user_define_contract,MYT,2,-1,0.0
31943,mapping_type_static,userBalanceOf,2,597,1.0
31944,bool,isDayFirst,2,1161,1.0
31945,bool,isDaySecond,2,1161,1.0
31946,bool,isDayThird,2,1161,1.0
31947,array_type_dynamic,saleType,2,-1,0.0
31948,mapping_type_dynamic,Breakdown_length,3,1054,0.8066838872671014
31949,mapping_type_static,userEnabled,4,804,0.6269873213316978
31950,uint256,queryGasLimit,1,83,1.0
31951,uint256,setAllowMarket,9,-1,0.0
31952,bool,UserTokenBalance,2,213,0.571036155237729
31953,array_type_dynamic,missions,2,-1,0.0
31954,array_type_dynamic,AirdropListLength,1,106,0.7289175517243403
31955,uint256,AirdropAmount,1,106,1.0
31956,address,gen0SellerAddress,6,935,0.8751052988785187
31957,uint256,lastMintId,1,19,1.0
31958,uint256,tokensPerMint,1,19,1.0
31959,uint256,awardAmountTotal,1,-1,0.0
31960,uint256,buyAmountTotal,1,-1,0.0
31961,uint256,teamBonusPercent,1,-1,0.0
31962,uint256,allBonusPercent,1,234,1.0
31963,uint256,lucyBonusLimitEth3,1,186,0.7056919307073362
31964,uint256,lucyBonusPercent1,1,-1,0.0
31965,uint256,lucyBonusPercent2,1,234,0.4766418617561077
31966,uint256,lucyBonusPercent3,1,234,0.212514897366086
31967,uint256,lucyBonusLimitEth1,1,186,0.9793320128254794
31968,uint256,lucyBonusLimitEth2,1,186,1.0
31969,array_type_dynamic,AllBonus,1,276,0.2793178712737845
31970,mapping_type_dynamic,tokenSymbol,11,-1,0.0
31971,uint256,buffer,7,625,0.13147265757797827
31972,mapping_type_static,unlockBalanceOf,16,409,0.4314641022274808
31973,mapping_type_static,isMaster,11,1015,0.7320223558632636
31974,mapping_type_static,cdpOwner,1,809,1.0
31975,bool,SaleState,3,1095,1.0
31976,address,Multisig,3,70,0.2253359982893819
31977,uint8,saleActive,2,1095,1.0
31978,uint8,numberOfDistributions,1,859,0.2354238427196265
31979,uint16,platformFee,1,535,1.0
31980,uint16,sponsorCommission,1,21,0.8115061790622914
31981,mapping_type_static,ticketPrices,3,50,1.0
31982,uint256,proposalsCount,2,655,1.0
31983,uint128,campaign,1,954,1.0
31984,mapping_type_dynamic,lastName,1,893,1.0
31985,mapping_type_dynamic,firstName,3,893,1.0
31986,uint256,totalArt,4,584,0.406767864537934
31987,mapping_type_static,lastPrice,2,1050,0.9515930244669158
31988,address,zelda,2,1061,0.7376476352891722
31989,address,wallet6,2,567,1.0
31990,uint256,lastTouch,1,940,1.0
31991,uint256,rD,1,1199,0.8009678514579944
31992,uint256,hardCapUSD,1,273,0.873692906487068
31993,uint256,softCapUSD,2,273,0.8998962424406974
31994,uint256,EmissionRate,1,31,0.699105163343652
31995,uint256,Emission,1,31,1.0
31996,array_type_dynamic,attendees,2,986,0.40664597416101117
31997,uint128,foundersShare,1,400,1.0
31998,user_define_contract,wolkTokenAddress,1,464,0.8770213348010459
31999,uint256,presale_rate,1,1065,1.0
32000,bytes32,phase,1,537,0.8029773653565461
32001,uint256,ico_rate,1,264,1.0
32002,uint16,tokenHolders,3,-1,0.0
32003,uint256,balanceOfLP,3,-1,0.0
32004,uint256,maxVeriAmount,7,1116,0.4851999367370834
32005,uint256,minVeriAmount,7,1087,0.8497070489231735
32006,array_type_dynamic,deeds,2,-1,0.0
32007,uint256,since,1,-1,0.0
32008,uint256,holdPeriod,1,-1,0.0
32009,uint256,ForSale,1,1095,0.782416844879402
32010,user_define_contract,loanFactory,1,891,1.0
32011,uint256,seq,1,-1,0.0
32012,mapping_type_static,holdDataAddress1,1,1112,0.6558281342197825
32013,mapping_type_static,holdDataAddress2,1,1112,0.5636338278828629
32014,uint256,dividendPerShare,3,11,1.0
32015,user_define_contract,tokenLedger,1,107,0.729727410686445
32016,user_define_contract,propertyId,1,-1,0.0
32017,string,submited,1,650,1.0
32018,uint256,maxGas,3,83,0.6896624424553224
32019,address,gasPriceOracle,1,509,0.3309904860888601
32020,mapping_type_static,tokenPrice,9,375,1.0
32021,uint256,testme,1,683,0.6913185460527382
32022,user_define_contract,PublicPresale,1,-1,0.0
32023,uint256,canWithdraw,1,294,1.0
32024,address,burnWallet,1,-1,0.0
32025,uint256,numAuthorized,1,923,0.6248739103668692
32026,uint256,currentContractBalance,1,597,0.3900557019279266
32027,address,inAddress,1,1201,0.6372404081246518
32028,uint256,btcPrice,2,-1,0.0
32029,mapping_type_static,balanceOfBtc,1,-1,0.0
32030,uint256,tokenNum,1,353,0.9354662003075602
32031,address,lockBuySell,1,-1,0.0
32032,address,extraAddress,1,-1,0.0
32033,bool,isTradingAllowed,1,1044,1.0
32034,uint256,weiTokenPrice,1,527,0.48526865469638575
32035,user_define_contract,DAO,2,1111,0.3956188026018153
32036,mapping_type_static,regulators,1,-1,0.0
32037,uint256,lockUpTime,1,523,1.0
32038,address,reciever,1,674,0.24018683132350477
32039,bool,isExtended,1,1083,1.0
32040,uint256,refundPrice,1,176,1.0
32041,address,defaultWallet,1,545,0.8113271673483916
32042,bool,Refund,1,176,1.0
32043,uint8,allowMigrations,1,179,0.3747931494195846
32044,uint256,D3,1,1195,0.6999672825975629
32045,uint256,D1,1,-1,0.0
32046,bool,isCampaignStarted,4,954,1.0
32047,address,toBeRefund,4,176,1.0
32048,address,candidateOwner,4,809,1.0
32049,uint256,dailyExpLimit,1,1025,1.0
32050,uint8,limit,1,1076,0.2640588964200221
32051,mapping_type_static,Nickname,1,893,0.27235900349593894
32052,address,Everything,1,1034,0.8830262870375033
32053,mapping_type_static,Quota,1,717,1.0
32054,mapping_type_static,canDeposit,6,-1,0.0
32055,uint256,addSupply,1,860,1.0
32056,uint256,listPrice,4,1037,0.5233802473396443
32057,uint256,discountThreshold,4,654,0.4301462839098278
32058,mapping_type_static,toMirrorTokenId,1,194,1.0
32059,user_define_contract,originNft,1,252,0.7784551431370109
32060,uint16,producerId,1,-1,0.0
32061,uint8,convertType,1,768,0.787103996388363
32062,address,walletMain,1,-1,0.0
32063,address,walletPartner,1,-1,0.0
32064,uint256,stageNumber,1,-1,0.0
32065,mapping_type_static,coupons,1,654,0.24157880149046873
32066,address,alchemist,1,-1,0.0
32067,address,knight,1,979,0.26255332304115336
32068,uint256,accountBalance,1,507,1.0
32069,bool,saleLocked,2,-1,0.0
32070,user_define_contract,demo,12,718,0.19589167292056123
32071,address,portfolioManager,3,297,0.04672803209649609
32072,string,model,5,849,1.0
32073,uint8,numCoins,3,601,0.2946903935642715
32074,bool,stopLottery,2,47,0.6721890415815759
32075,uint256,hashProof,2,679,1.0
32076,uint256,entriesCount,2,1072,0.8747098389069962
32077,user_define_contract,wednesdayCoin,6,601,1.0
32078,uint256,lev1,1,357,1.0
32079,uint256,lev2,1,357,0.8733468708153359
32080,uint256,burnDate,2,146,0.9184713770286018
32081,uint256,numTokens,2,353,1.0
32082,user_define_contract,bounties,1,59,0.8113095781226755
32083,mapping_type_dynamic,VoterProposal,1,-1,0.0
32084,uint256,TotalVotersCount,1,221,0.347889468101398
32085,uint256,ProposalTTL,1,-1,0.0
32086,uint256,VotesPerProposal,1,655,0.3537482835096732
32087,uint256,TotalProposalsCount,1,655,1.0
32088,array_type_static,weights,1,748,1.0
32089,uint8,maxCoins,1,601,0.21606410548660376
32090,array_type_static,addresses,1,-1,0.0
32091,address,commandAddress,2,1201,0.58945610882214
32092,uint256,maxRedemption,3,168,1.0
32093,uint256,donationCount,1,352,1.0
32094,mapping_type_static,rewardSent,2,-1,0.0
32095,mapping_type_static,verifyBuyer,1,-1,0.0
32096,address,dutchXAddress,1,1138,1.0
32097,mapping_type_static,isWhitelistedToken,1,396,1.0
32098,address,tetherToken,3,-1,0.0
32099,address,tokenSource,3,-1,0.0
32100,address,systemAddress,11,-1,0.0
32101,address,brokerAddress,3,191,0.5615584127740667
32102,address,factoryContract,6,700,0.1680009664390063
32103,address,withdrawContract,1,294,1.0
32104,array_type_dynamic,derivatives,1,-1,0.0
32105,address,investorVault,2,63,0.19515054389583775
32106,array_type_dynamic,dataType,1,-1,0.0
32107,uint8,icoStarted,2,-1,0.0
32108,uint256,leftToken,2,677,0.8415885422338764
32109,bool,fired,2,-1,0.0
32110,uint256,tradeType,3,1043,1.0
32111,uint256,calcTokens,1,-1,0.0
32112,mapping_type_dynamic,btcAddress,4,1121,1.0
32113,uint256,numAddresses,4,822,0.5579384068201816
32114,array_type_dynamic,addressesList,4,1185,0.7966861196469289
32115,user_define_contract,transferBatch,1,181,1.0
32116,uint256,Star,1,682,1.0
32117,mapping_type_static,reviewers,1,716,1.0
32118,uint64,exchange_rate,1,668,0.7556888007046568
32119,bool,needsUpdate,1,718,0.20700683744124254
32120,user_define_contract,previousVersion,3,718,0.46697433000510435
32121,address,k1,2,1188,1.0
32122,address,k2,2,1188,1.0
32123,uint8,_maxCoins,1,601,0.21606410548660376
32124,array_type_static,_addresses,1,-1,0.0
32125,uint8,waitQuery,2,1126,1.0
32126,address,addressOwner,1,707,1.0
32127,address,addressAdmin,1,773,0.38265766509514876
32128,address,addressManager,1,-1,0.0
32129,mapping_type_static,ItemOwner,1,809,0.8015774975444631
32130,array_type_dynamic,items,1,851,1.0
32131,address,abc,1,-1,0.0
32132,uint8,abd,1,-1,0.0
32133,uint256,unlockAfterNDays,2,467,1.0
32134,mapping_type_static,roundPrize,1,-1,0.0
32135,address,giver,1,-1,0.0
32136,uint256,principalOutstanding,1,-1,0.0
32137,uint256,interestCollected,1,866,1.0
32138,array_type_dynamic,takerCount,1,1072,0.8627444326745451
32139,uint256,wave,1,-1,0.0
32140,mapping_type_static,transferWithAllowance,1,129,0.022932224070946958
32141,uint256,minTransactionAmount,4,-1,0.0
32142,uint256,raisedForEther,4,643,1.0
32143,uint256,bonusesSold,2,-1,0.0
32144,uint256,checkJackpot,1,528,1.0
32145,mapping_type_static,fee,3,1149,0.7329564022453214
32146,address,financier,3,301,1.0
32147,address,whale,3,979,0.18296386134040357
32148,address,hacker,3,663,0.796745622638441
32149,address,vendor,2,-1,0.0
32150,uint256,LastPrice,1,1050,0.9515930244669158
32151,uint256,lastUpdated,4,1096,1.0
32152,bool,fakeTransfer,1,324,0.5746803858223963
32153,user_define_contract,prices,5,1037,0.9971370056426091
32154,uint8,icoActive,2,337,0.5878867470795013
32155,uint256,ethHardCap,8,156,0.44358947914730595
32156,mapping_type_static,stageCap,2,532,1.0
32157,mapping_type_static,privateWhitelist,2,-1,0.0
32158,uint256,usdPerEth,3,662,0.6564346945035248
32159,uint256,invitePrice,1,30,0.5875514963381901
32160,address,feeDestination,1,1149,0.5796832858921003
32161,uint256,paymentID,1,-1,0.0
32162,uint256,maxEntries,1,-1,0.0
32163,uint8,isLock,10,571,0.8272759184480872
32164,uint256,min_value,1,1086,1.0
32165,uint256,startPoint,1,848,0.46736623644348535
32166,uint256,p1Price,1,933,1.0
32167,uint256,p2Price,1,933,1.0
32168,address,_tokenWallet,2,466,1.0
32169,address,tokenLock,1,440,0.8408360569305651
32170,array_type_dynamic,ShareHolderCount,6,348,1.0
32171,mapping_type_static,HoldersShare,4,-1,0.0
32172,uint256,scaffoldAmount,4,1099,0.963666731812701
32173,user_define_contract,OPENToken,4,1162,0.2404708641421041
32174,uint256,scaffoldTransactionIndex,4,-1,0.0
32175,address,log,1,-1,0.0
32176,uint256,stage1,1,216,0.5082221857906307
32177,uint256,stage2,1,216,0.39351687831770576
