index,data_type,data_name,count,label,probability
5330,address,tokenAccountAddress,6,870,1.0
5331,user_define_contract,tokenExchange,7,211,1.0
5332,uint256,endRegisterTime,6,-1,0.0
5333,uint256,gameNumber,7,758,0.5560639185925602
5334,uint256,registerDuration,6,-1,0.0
5335,uint8,crowdsaleOpen,1,82,0.5654083057908025
5336,uint256,icoStage1Deadline,1,-1,0.0
5337,uint256,priceStage2,1,691,0.25077554668721846
5338,uint256,priceStage1,1,691,0.2714106445490186
5339,uint256,pricePreSale,5,694,1.0
5340,uint256,totalAmountOfWeiCollected,1,590,1.0
5341,uint256,totalAmountOfTeatokensCreated,1,-1,0.0
5342,mapping_type_static,claimableAmount,1,1273,1.0
5343,mapping_type_static,verifiedUsers,1,1345,0.7982162372738282
5344,address,DestinationWallet,2,-1,0.0
5345,mapping_type_static,UpgradePrice,1,1289,1.0
5346,uint256,curRTicketSum,5,429,0.9669900776367022
5347,address,f2mContract,7,1023,1.0
5348,address,bankContract,12,-1,0.0
5349,bool,swapActived,3,1063,1.0
5350,bool,buyActived,3,1158,0.597381730411955
5351,uint256,deployedDay,3,757,1.0
5352,uint256,AvgPps,1,638,0.3900310854441819
5353,uint256,unitRate,1,638,0.6947259132902223
5354,uint256,potPercent,1,332,0.0687104998476857
5355,uint256,pps,3,499,1.0
5356,bool,autoBuy,3,-1,0.0
5357,uint256,deployedTime,3,684,1.0
5358,address,newTokenContract,4,984,0.7247123843565118
5359,mapping_type_static,todayCredit,2,1395,1.0
5360,mapping_type_static,totalBuyVolumeInDay,1,-1,0.0
5361,uint256,TotalDividends,2,289,1.0
5362,mapping_type_static,ppsInDay,2,-1,0.0
5363,uint256,totalSellVolume,1,830,0.6417412679693025
5364,uint256,_deadline,1,337,0.21993319024966146
5365,uint256,_amountRaised,1,725,0.9467849854712916
5366,uint232,,1,-1,0.0
5367,user_define_contract,_hackoinToken,1,211,1.0
5368,user_define_contract,_adeptToken,1,211,1.0
5369,user_define_contract,_tenuousToken,1,211,1.0
5370,user_define_contract,_educatedToken,1,211,1.0
5371,address,devTeamContract,3,1023,1.0
5372,user_define_contract,citizenContract,5,-1,0.0
5373,mapping_type_static,lastClaim,3,1273,1.0
5374,uint256,TIME_OUT,3,-1,0.0
5375,user_define_contract,lotteryContract,4,232,1.0
5376,mapping_type_static,claimedSum,3,1273,1.0
5377,user_define_contract,f2mContract,3,237,1.0
5378,array_type_dynamic,TotalMember,3,75,0.8363093154024401
5379,mapping_type_static,donateSum,3,1284,1.0
5380,uint256,lastRoundId,3,688,1.0
5381,uint256,rest,4,-1,0.0
5382,mapping_type_static,pRewardedSum,3,1325,0.21840006651737845
5383,mapping_type_static,RewardedSumByRound,3,1269,0.7657943416381651
5384,uint256,rewardedSum,3,504,0.8212167321305
5385,mapping_type_static,PRewardedSumByRound,3,1269,1.0
5386,array_type_dynamic,RewardListLength,3,41,1.0
5387,mapping_type_dynamic,PRewardLength,3,154,1.0
5388,bool,activated,37,-1,0.0
5389,mapping_type_static,total,6,1392,1.0
5390,uint256,TOKENS_SOLD,10,498,1.0
5391,uint256,transferNashOut,1,355,0.3135016537381542
5392,array_type_static,signedApproveAndCallCheck,1,-1,0.0
5393,array_type_static,signedTransferCheck,1,-1,0.0
5394,uint256,totalSoldToken,1,489,1.0
5395,uint256,icoTotalAmount,2,439,1.0
5396,address,contributorsAddress,5,-1,0.0
5397,uint256,frozenSupply,13,643,0.4988133388475529
5398,uint8,companyCurrentPeriod,1,137,0.9537731502498691
5399,uint256,initDate,1,374,1.0
5400,uint256,companyPeriodsElapsed,1,659,0.9144012072524154
5401,address,companyAddress,11,-1,0.0
5402,uint8,contributorsCurrentPeriod,1,127,0.24669839487877204
5403,uint256,contributorsPeriodsElapsed,1,481,0.9142572372020021
5404,uint8,TokensAreFrozen,2,94,1.0
5405,uint256,totalMarks,1,-1,0.0
5406,address,development,12,1039,0.34745726696513823
5407,uint256,stopTime,13,-1,0.0
5408,uint256,icoDays,2,-1,0.0
5409,mapping_type_static,StopTransfer,3,1246,0.9458417970617757
5410,uint8,isICORunning,1,95,0.544685431833237
5411,mapping_type_static,list,2,1382,1.0
5412,uint256,airDropTokenIssuedTotal,2,292,0.35852991184424166
5413,uint256,preICOTokenIssuedTotal,1,439,0.8669184510742669
5414,uint256,bountyTokenIssuedTotal,2,287,0.04561385759315509
5415,mapping_type_static,initTimes,18,1306,0.5082982736611052
5416,mapping_type_static,frozenBalances,24,1179,0.1870381061276502
5417,address,techAccount,4,899,0.5348637660188451
5418,bool,ignoreKYCLockup,2,1069,1.0
5419,mapping_type_static,verifiedKYCAddresses,4,1174,0.3028037616558888
5420,address,tokensWallet,13,933,1.0
5421,bool,_released_by_manager,2,1080,1.0
5422,mapping_type_static,acceptedTokens,6,-1,0.0
5423,uint256,maxDuration,10,819,0.6046268445431616
5424,uint256,minDuration,9,819,0.8869438022129242
5425,uint256,auctionFee,3,297,1.0
5426,uint256,gasInTokens,3,-1,0.0
5427,mapping_type_static,auctionIndex,3,-1,0.0
5428,mapping_type_static,auctionsOf,3,1213,1.0
5429,address,profitAddress,4,916,1.0
5430,user_define_contract,arconaToken,3,211,1.0
5431,uint256,AutoBuy,4,-1,0.0
5432,uint256,AutoSell,4,-1,0.0
5433,string,author,1,1450,0.7121927628265
5434,mapping_type_static,lockStatusOf,6,1311,0.8623602529367888
5435,mapping_type_static,transferWhiteList,6,1224,1.0
5436,address,privateSaleWallet,10,923,1.0
5437,address,lockTokensAddress,6,939,1.0
5438,user_define_contract,core,37,206,1.0
5439,address,plugins,2,-1,0.0
5440,address,pluginsContract,18,1023,0.7398089674603314
5441,uint40,momId,2,-1,0.0
5442,uint40,dadId,2,-1,0.0
5443,address,icoManager,11,906,0.9946030773789164
5444,mapping_type_static,WhiteList,10,1237,1.0
5445,address,urbitAdminAddress,1,1027,0.6921628922094225
5446,uint256,saleClosedTimestamp,1,693,0.3838597887296045
5447,mapping_type_static,vestingsOf,1,1177,0.7957441435579412
5448,address,bountyTokensVault,1,854,0.6329856093432783
5449,uint256,freeCount,9,834,0.6633307437011472
5450,uint256,ownerCount,3,-1,0.0
5451,array_type_dynamic,ownerHistory,24,60,0.470116606414101
5452,uint256,pausedUntil,5,712,1.0
5453,uint256,BATsPerEth,4,729,1.0
5454,user_define_contract,bat,13,-1,0.0
5455,uint256,crowdsaleSupply,67,-1,0.0
5456,uint256,tokenCrowdsaleCap,51,-1,0.0
5457,address,xpaFundDeposit,7,908,0.5092075656831914
5458,uint8,transfersFrozen,3,93,0.8334899078823633
5459,bool,uniqueSpinnersActive,1,1158,0.5226678168051757
5460,string,motd,36,1438,0.5339298334275241
5461,mapping_type_static,approve,28,1385,1.0
5462,uint8,mintingStopped,25,83,1.0
5463,uint256,mintingNonce,23,-1,0.0
5464,uint256,tokensDistributed,19,484,0.7632266628382913
5465,uint256,maxTokensToDistribute,2,366,0.315414852038158
5466,address,cofounderA,3,979,0.2045821461747734
5467,address,cofounderB,3,979,0.18774732228306626
5468,user_define_contract,dnnToken,5,211,1.0
5469,array_type_dynamic,ethTxs,2,-1,0.0
5470,array_type_dynamic,SupportedTokens,1,50,0.9083992792357127
5471,uint256,finaliseTime,19,765,1.0
5472,uint256,gracePeriodStart,4,447,1.0
5473,uint256,presaleCap,11,430,1.0
5474,bool,stage,3,1080,1.0
5475,uint256,channelsSold,1,-1,0.0
5476,uint256,earlyStageLasts,1,305,1.0
5477,uint256,officialLimit,1,593,0.42745291499296606
5478,uint256,channelsLimit,1,588,0.5581526367604931
5479,uint256,officialSold,1,832,0.8973877674840027
5480,uint256,destroyedToken,5,509,0.5782605628187005
5481,address,citadelAddress,5,-1,0.0
5482,array_type_dynamic,OwnerCount,27,60,1.0
5483,address,app_address,1,921,1.0
5484,address,old_address,1,989,1.0
5485,uint256,tokenPriceInEth,4,-1,0.0
5486,uint256,totalTokenSold,34,489,1.0
5487,uint256,totalEtherRaised,19,732,0.8306044692151328
5488,mapping_type_static,etherRaisedPerWallet,4,-1,0.0
5489,array_type_dynamic,UserAtIndex,6,64,1.0
5490,bool,_mintingFinished,1,1062,1.0
5491,uint256,crowdSaleStartTimestamp,2,314,0.8660019692986811
5492,string,lastLoveLetter,2,1443,1.0
5493,mapping_type_static,canRescue,1,1351,1.0
5494,mapping_type_static,showMyTokenBalance,53,1219,1.0
5495,user_define_contract,proxyRegistry,2,183,0.2680142325750823
5496,uint256,ethichubFee,4,-1,0.0
5497,uint256,localNodeFee,4,-1,0.0
5498,address,solver,1,-1,0.0
5499,string,verificationCodeHash,3,1445,0.6035111218643202
5500,mapping_type_dynamic,ServiceURI,1,157,1.0
5501,uint256,targetContractId,4,777,0.5153123346436583
5502,uint256,claimDate,2,419,0.9770954052302594
5503,uint256,remainingSupply,23,756,0.4189400021685428
5504,uint256,tokenValue,14,-1,0.0
5505,address,updater,24,-1,0.0
5506,mapping_type_static,invalidOrder,21,1397,1.0
5507,mapping_type_static,lastActiveTransaction,26,1303,0.6956874724426276
5508,uint256,inactivityReleasePeriod,22,709,0.6712479511178178
5509,uint256,_airdropTotal,20,335,0.7709394012640288
5510,uint256,_airdropSupply,20,-1,0.0
5511,uint256,_airdropAmount,28,335,0.7237246128084832
5512,user_define_contract,raindropAddress,14,263,0.747895584469616
5513,uint256,authVersion,9,-1,0.0
5514,mapping_type_static,authorizations,12,1387,1.0
5515,address,recoveryAddress,9,-1,0.0
5516,bool,active,85,1158,1.0
5517,uint256,minimumAllowedWei,1,577,1.0
5518,uint256,totalSupplyLimit,27,721,0.7458937788108108
5519,bool,isUnlocked,7,-1,0.0
5520,uint256,_totalRemaining,15,796,1.0
5521,uint8,isUnlocked,4,98,1.0
5522,address,root,78,-1,0.0
5523,uint8,isInitialized,6,88,1.0
5524,mapping_type_static,data,8,1330,1.0
5525,user_define_contract,ethereumLottery,8,232,1.0
5526,mapping_type_static,distributed,5,1256,1.0
5527,uint256,eligibleTokens,2,-1,0.0
5528,uint256,totalDistributionAmountInWei,2,590,1.0
5529,mapping_type_static,weaponToApproved,1,1385,1.0
5530,bool,is_active,13,1158,1.0
5531,uint256,contributedAmount,6,480,0.8445619114008384
5532,uint8,onSale,1,147,1.0
5533,uint256,totalExtraTokens,1,511,0.9608618606131301
5534,mapping_type_static,Node,5,-1,0.0
5535,uint256,minAmountWei,7,577,0.9530294090990905
5536,uint256,mvnpereth,2,-1,0.0
5537,user_define_contract,affiliateTree,2,-1,0.0
5538,address,netAddress,1,-1,0.0
5539,address,otherAddress,1,989,1.0
5540,mapping_type_dynamic,tokenMetadata,7,165,0.998795500117429
5541,user_define_contract,approvedToken,38,211,1.0
5542,mapping_type_static,investorIsVested,1,1176,0.8025244782235179
5543,uint256,icoFinalizedTime,3,446,0.3382740257025724
5544,uint256,vestingTime,1,281,1.0
5545,uint256,advisorTokens,4,349,0.6568217947546912
5546,uint256,marketingTokens,4,-1,0.0
5547,address,crowdSaleOwner,1,977,1.0
5548,uint256,expansionTokens,1,513,1.0
5549,address,vestingOwner,6,876,0.45167686987935035
5550,mapping_type_static,totals,6,1392,1.0
5551,address,lastAddress,4,989,1.0
5552,bool,hasWithdrawnRake,1,1082,0.5557011151106876
5553,mapping_type_static,totalForOutcome,1,1386,1.0
5554,uint8,winningOutcome,1,134,0.8896004185722013
5555,uint8,tradable,2,135,1.0
5556,uint256,unfreezeTimestamp,12,644,1.0
5557,uint256,priceUnits,3,814,1.0
5558,uint256,sellComissionUnits,2,820,0.6173875068516956
5559,uint256,sellComission,2,-1,0.0
5560,uint256,sellOrderTotal,3,-1,0.0
5561,bool,execute,1,1132,1.0
5562,string,callData,1,1436,0.8228157750871364
5563,mapping_type_static,userTotalContributed,2,1285,0.7450498296521318
5564,uint256,totalEtherContributed,21,731,0.7631092203736571
5565,uint256,tokenPriceDenom,2,460,0.7011602442669342
5566,uint256,tokenPriceNum,2,460,0.697310988519828
5567,uint256,rawTokenSupply,2,488,1.0
5568,mapping_type_static,additionalBonusOwnerState,2,1200,0.7695540209722075
5569,uint256,tokenMaxSupply,2,366,0.11703126267873845
5570,user_define_contract,fund,9,242,1.0
5571,address,lockedTokens,4,939,1.0
5572,address,mainSaleTokenWallet,2,933,0.6266722502600175
5573,address,foundationTokenWallet,2,-1,0.0
5574,address,advisorsTokenWallet,4,-1,0.0
5575,address,teamTokenWallet,2,860,0.27334933072481166
5576,address,marketingTokenWallet,2,933,0.8535964960081797
5577,bool,transferPreSignedBulk,1,1104,0.8500754546613266
5578,uint256,wlStartBlock,2,559,1.0
5579,uint256,wlStopBlock,2,-1,0.0
5580,uint256,maxBuyPrice,2,780,0.33859656775337404
5581,uint256,minBuyPrice,2,-1,0.0
5582,uint256,soldSupply,12,-1,0.0
5583,uint256,curPrice,2,-1,0.0
5584,uint256,dividendPayment,9,289,0.8889986117408292
5585,uint256,numberOfTokenHolders,9,505,0.6962691821325473
5586,mapping_type_static,RecordBalance,9,-1,0.0
5587,uint256,numberOfRecordEntries,9,834,0.6717029279898834
5588,mapping_type_static,stepLockend,4,1311,0.9089573065337437
